Facility Name,Street Address,Zip Code,Hours,Website,Phone Number,Other Phone,Building ID,Ownership Status,Owner,Occupying Division,Occupancy Type,Sq. Ft. ,Year Built 
Bastrop WIC Clinic,"443 Texas Highway 71
Bastrop, Texas 78602
(30.10646853400044, -97.33211573399967)",78602,"Monday 7:30am to 7pm, closed 12 noon to 1pm; Tuesday and Friday closed; Wednesday and Thursday 7:30 am to 4:30 pm, closed 12 noon to 12:30 pm (closed second Wednesday of each month); Second Saturday of each month 8am to 12 noon",,512-972-4942,,BAS,Lease,The Marketplace at Bastrop,Community Services ,Clinic,1400,N/A
Vital Records,"7201 Levander Loop, Building C
Austin, Texas
(30.252329, -97.690404)",78702,"Monday to Friday, 8am to 4:30pm",https://austintexas.gov/birthcertificates,512-972-4784,,,,,,,,
Manor WIC Clinic,"600 West Carrie
Manor, Texas 78653
(30.340164, -97.563744)",78653,"Thursday 9am to 2:30pm, closed 12 noon to 12:30pm",http://www.austintexas.gov/department/manor-wic-clinic,512-972-4942,,MAN,N/A,Travis County ,Community Services ,Clinic,1700,N/A
St. Johns WIC Clinic,"7500 Blessing Avenue
Austin, Texas 78752
(30.332635, -97.69335)",78752,"Monday and Tuesday 7:30 a.m. to 7 p.m., closed noon to 1 p.m.; Wednesday and Thursdays 7:30 a.m. to 4:30 p.m., closed noon to 12:30 p.m. (Closed second Wednesday of each month); Fridays 7:30am to noon; Second Saturday of each month 8 a.m. to noon",http://www.austintexas.gov/department/st-johns-wic-clinic,512-972-4942,,SJC,Lease,Austin Independent School Center ,Community Services ,"Clinic, Neighborhood Center ",9559,2001
Betty Dunkerley Health Campus Building B,"7201 Levander Loop
Austin, Texas 78702
(30.251305664000483, -97.69174879199966)",78702,Sunday - Saturday 7:00am to 7:00pm,,512-972-5010,,BDCB,Own,City of Austin,"Epidemiology and Public Health Preparedness, Office of the Director",Offices ,2190,N/A
Northwest WIC Clinic,"8701 Research Blvd, Suite A
Austin, Texas 78758
(30.365149, -97.716958)",78758,"Monday and Tuesday 7:30am to 7:00pm, closed 12 noon to 1:00pm; Wednesday and Thursday 7:30am to 7:00pm, closed 12 noon to 12:30pm (Closed second Wednesday of each month); Fridays 7:30am to 12 noon; Second Saturday of each month 8:00am to 12 noon",http://www.austintexas.gov/department/northwest-wic-clinic,512-972-4942,,NWW,Lease,"Van Family Real Estate Partnership, Ltd",Community Services ,Clinic,4200,1993
Rutherford Campus,"1520 Rutherford Lane, Bldg 1
Austin, Texas 78754
(30.337078, -97.68114)",78754,"Monday and Wednesday 7:45am to 11:30am; Tuesday, Thursday, and Friday 7:45am to 4:30 pm",https://austintexas.gov/department/environmental-health-services,512-978-0300,,RLC,Own,City of Austin,Environmental Health Services ,Offices ,2500,N/A
Montopolis Recreation Community Center ,"1200 Montopolis Dr.
Austin, Texas 78741
(30.232386, -97.699893)",78741,"Monday - Thursday: 11 AM - 9 PM, Friday 11 AM - 6 PM, Saturday 10 AM - 4 PM, Sunday: Closed ",,12-978-2300,,MRCC ,Own ,City of Austin ,Community Services ,Offices ,,N/A
Blackland Neighborhood Center,"2005 Salina St
Austin, Texas 78722
(30.280750365000472, -97.72245940699969)",78722,Monday to Thursday 8am to 6pm; Friday 8am to 12noon,,512-972-5790,,BNC,Own,City of Austin,Community Services,"Neighborhood Center, Offices ",347,1984
Dove Springs WIC Center,"6801 South IH-35, Suite I & J
Austin, Texas 78744
(30.187722, -97.770861)",78744,"Monday and Tuesday 7:30am to 7:00pm, closed 12 noon to 1:00pm; Wednesday and Thursday 7:30am to 4:30pm, closed 12 noon to 12:30pm; Closed second Wednesday of each month; Friday 7:30am to 12 noon; Second Saturday of each month 8:00am to 12 noon",http://www.austintexas.gov/department/dove-springs-wic-center,512-972-4942,,DOV,Lease,"LX-Northbluff Center, L.P.",Community Services ,Clinic,2100,N/A
First Workers Day Labor Center ,"4916 N IH 35
Austin, Texas 78751
(30.308436, -97.711863)",78751,,http://www.austintexas.gov/online-form/first-workers-day-labor-job-request,512-972-4100,,,Lease,Najib Webbe ,Community Services ,Service Center ,5315,N/A
South Austin Neighborhood Center,"2508 Durwood St.
Austin, Texas 78704
(30.239254, -97.760064)",78704,Monday to Thursday 8 a.m. to 6 p.m.; Friday 8 a.m. to noon,http://www.austintexas.gov/department/south-austin-neighborhood-center,512-972-6840,,SAN ,Own,City of Austin,Community Services ,"Clinic, Neighborhood Services ",18651,1980
Far South WIC Clinic,"405 W. Stassney Lane
Austin, Texas 78745
(30.20701, -97.779239)",78745,"Monday and Tuesday 7:30am to 7:00pm, closed 12 noon to 1:00pm; Wednesday and Thursday 7:30am to 4:30pm, closed 12 noon to 12:30pm (Closed second Wednesday of each month); Fridays 7:30am to 12 noon; Second Saturday of each month 8:00am to 12 noon",http://www.austintexas.gov/department/far-south-wic-clinic,512-972-4942,,FSH,Own,City of Austin,"Comunity Services, Disease Prevention and Health Promotion",Clinic,4750,1982
Montopolis WIC Clinic,"2901 Montopolis Drive
Austin, Texas 78741
(30.214991, -97.708833)",78741,"Monday and Tuesday 8am to 7pm, closed 12 noon to 1:00pm; Wednesday and Thursday 8am to 4:30pm, closed 12 noon to 12:30pm; Closed second Wednesday of each month; Friday 8am to 12 noon; Second Saturday of each month 8:00am to 12 noon",http://www.austintexas.gov/department/montopolis-wic-clinic,512-972-4942,,MON,Lease,Central ,Community Services,Clinic,1993,2015
Clarksville Community Health Center,"1000 Toyath Street
Austin, Texas 78703
(30.28122053000044, -97.76330054699969)",78703,"Monday to Friday, 8am - 4:30pm",http://www.austintexas.gov/department/clarksville-community-health-center,,,CNC,Own,City of Austin,Disease Prevnetion and Health Promotion,"Clinic, Offices ",3500,N/A
RBJ Health Center ,"15 Waller Street
Austin, Texas 78702
(30.25231, -97.733446)",78702,Monday to Friday 8am to 5pm,http://www.austintexas.gov/department/rbj-health-center,512-972-5400,,RBJ,Own,City of Austin,"Administrative Support Services, Disease Prevnetion and Health Promotion, Epidemiology, Public Health Preparedness","Clinic, Offices ",50809,1968
